ts_ms,kind,id,sub,outcome,end_ms,latency_ms,detail
46095.13,CALL,W0-0,greet,v1,46395.66,300.53,"Hello, W0-0! (from greeter v1.0)"
46095.31,CALL,W1-0,greet,v1,46396.01,300.7,"Hello, W1-0! (from greeter v1.0)"
46095.43,CALL,W2-0,greet,v1,46395.97,300.54,"Hello, W2-0! (from greeter v1.0)"
46095.55,CALL,W3-0,greet,v1,46396.03,300.48,"Hello, W3-0! (from greeter v1.0)"
46095.68,CALL,W4-0,greet,v1,46396.06,300.39,"Hello, W4-0! (from greeter v1.0)"
46095.8,CALL,W5-0,greet,v1,46396.09,300.29,"Hello, W5-0! (from greeter v1.0)"
46095.92,CALL,W6-0,greet,v1,46396.51,300.59,"Hello, W6-0! (from greeter v1.0)"
46096.02,CALL,W7-0,greet,v1,46396.48,300.46,"Hello, W7-0! (from greeter v1.0)"
46406.04,CALL,W0-1,greet,v1,46706.68,300.64,"Hello, W0-1! (from greeter v1.0)"
46406.08,CALL,W4-1,greet,v1,46706.64,300.56,"Hello, W4-1! (from greeter v1.0)"
46406.54,CALL,W7-1,greet,v1,46707.22,300.68,"Hello, W7-1! (from greeter v1.0)"
46406.66,CALL,W6-1,greet,v1,46707.18,300.53,"Hello, W6-1! (from greeter v1.0)"
46407.19,CALL,W5-1,greet,v1,46708.0,300.8,"Hello, W5-1! (from greeter v1.0)"
46407.25,CALL,W3-1,greet,v1,46708.05,300.81,"Hello, W3-1! (from greeter v1.0)"
46407.26,CALL,W2-1,greet,v1,46707.95,300.68,"Hello, W2-1! (from greeter v1.0)"
46407.28,CALL,W1-1,greet,v1,46707.75,300.47,"Hello, W1-1! (from greeter v1.0)"
46696.67,CTRL,C0-0,UNLOAD,OK,46696.92,0.25,unload=True
46717.47,CALL,W0-2,greet,degraded,46717.48,0.01,[fallback] Service temporarily unavailable for W
46717.51,CALL,W4-2,greet,degraded,46717.53,0.01,[fallback] Service temporarily unavailable for W
