ts_ms,kind,id,sub,outcome,end_ms,latency_ms,detail
19137.84,CALL,W0-0,slow_greet,v1,21138.29,2000.45,"Slow hello, W0-0! (from greeter v1.0)"
19137.98,CALL,W1-0,slow_greet,v1,21138.23,2000.24,"Slow hello, W1-0! (from greeter v1.0)"
19138.11,CALL,W2-0,slow_greet,v1,21138.33,2000.22,"Slow hello, W2-0! (from greeter v1.0)"
19138.29,CALL,W3-0,slow_greet,v1,21138.78,2000.49,"Slow hello, W3-0! (from greeter v1.0)"
19138.44,CALL,W4-0,slow_greet,v1,21138.71,2000.28,"Slow hello, W4-0! (from greeter v1.0)"
19138.96,CALL,W5-0,slow_greet,v1,21139.42,2000.46,"Slow hello, W5-0! (from greeter v1.0)"
19139.11,CALL,W6-0,slow_greet,v1,21139.45,2000.34,"Slow hello, W6-0! (from greeter v1.0)"
19139.2,CALL,W7-0,slow_greet,v1,21139.32,2000.11,"Slow hello, W7-0! (from greeter v1.0)"
19139.41,CALL,W8-0,slow_greet,v1,21140.11,2000.71,"Slow hello, W8-0! (from greeter v1.0)"
19139.56,CALL,W9-0,slow_greet,v1,21140.02,2000.45,"Slow hello, W9-0! (from greeter v1.0)"
19139.7,CALL,W10-0,slow_greet,v1,21140.06,2000.36,"Slow hello, W10-0! (from greeter v1.0)"
19139.82,CALL,W11-0,slow_greet,v1,21140.09,2000.27,"Slow hello, W11-0! (from greeter v1.0)"
19139.94,CALL,W12-0,slow_greet,v1,21140.72,2000.78,"Slow hello, W12-0! (from greeter v1.0)"
19140.1,CALL,W13-0,slow_greet,v1,21140.69,2000.59,"Slow hello, W13-0! (from greeter v1.0)"
19140.22,CALL,W14-0,slow_greet,v1,21140.65,2000.43,"Slow hello, W14-0! (from greeter v1.0)"
19140.36,CALL,W15-0,slow_greet,v1,21140.56,2000.2,"Slow hello, W15-0! (from greeter v1.0)"
19140.51,CTRL,C0-0,RELOAD_V2,OK,19141.67,1.17,→ v2
